DateTime Local,12HrSnow_mm,12HrWater_mm
10/17/04 4:00,101.6,29.464
10/17/04 16:00,50.8,5.588
10/18/04 4:00,127,19.812
10/18/04 16:00,101.6,20.574
10/19/04 4:00,228.6,41.91
10/19/04 16:00,203.2,47.244
10/20/04 4:00,203.2,21.336
10/20/04 16:00,38.1,5.588
10/21/04 4:00,114.3,9.906
10/21/04 16:00,38.1,3.81
10/22/04 4:00,0,0
10/22/04 16:00,50.8,4.318
10/23/04 4:00,292.1,29.718
10/23/04 16:00,50.8,6.35
10/24/04 4:00,76.2,8.636
10/24/04 16:00,190.5,21.844
10/25/04 4:00,12.7,1.778
10/25/04 16:00,12.7,1.778
10/26/04 4:00,0,0
10/26/04 16:00,0,1.27
10/27/04 4:00,152.4,15.24
10/27/04 16:00,114.3,11.43
10/28/04 4:00,50.8,5.08
10/28/04 16:00,88.9,11.43
10/29/04 4:00,25.4,3.302
10/29/04 16:00,0,0
10/30/04 4:00,177.8,14.986
10/30/04 16:00,457.2,25.908
10/31/04 4:00,139.7,7.62
10/31/04 16:00,0,0
11/1/04 4:00,0,0
11/1/04 16:00,0,0
11/2/04 4:00,0,0
11/2/04 16:00,0,0
11/3/04 4:00,0,0
11/3/04 16:00,0,0
11/4/04 4:00,0,0
11/4/04 16:00,0,0
11/5/04 4:00,0,0
11/5/04 16:00,0,0
11/6/04 4:00,0,0
11/6/04 16:00,0,0
11/7/04 4:00,0,0
11/7/04 16:00,12.7,4.318
11/8/04 4:00,25.4,4.572
11/8/04 16:00,76.2,7.62
11/9/04 4:00,38.1,4.572
11/9/04 16:00,0,0
11/10/04 4:00,25.4,3.302
11/10/04 16:00,12.7,1.778
11/11/04 4:00,0,0
11/11/04 16:00,50.8,5.08
11/12/04 4:00,0,0
11/12/04 16:00,50.8,5.08
11/13/04 4:00,0,0
11/13/04 16:00,0,0
11/14/04 4:00,0,0
11/14/04 16:00,0,0
11/15/04 4:00,0,0
11/15/04 16:00,0,0
11/16/04 4:00,0,0
11/16/04 16:00,0,0
11/17/04 4:00,0,0
11/17/04 16:00,0,0
11/18/04 4:00,0,0
11/18/04 16:00,0,0
11/19/04 4:00,0,0
11/19/04 16:00,25.4,1.778
11/20/04 4:00,0,0
11/20/04 16:00,25.4,1.016
11/21/04 4:00,25.4,1.016
11/21/04 16:00,0,0
11/22/04 4:00,0,0
11/22/04 16:00,0,0
11/23/04 4:00,0,0
11/23/04 16:00,0,0
11/24/04 4:00,0,0
11/24/04 16:00,0,1.016
11/25/04 4:00,38.1,5.08
11/25/04 16:00,12.7,1.524
11/26/04 4:00,177.8,20.32
11/26/04 16:00,88.9,7.874
11/27/04 4:00,0,0
11/27/04 16:00,317.5,16.51
11/28/04 4:00,330.2,15.748
11/28/04 16:00,228.6,11.43
11/29/04 4:00,0,0
11/29/04 16:00,0,0
11/30/04 4:00,0,0
11/30/04 16:00,0,0
12/1/04 4:00,0,0
12/1/04 16:00,0,0
12/2/04 4:00,0,0
12/2/04 16:00,0,0
12/3/04 4:00,0,0
12/3/04 16:00,0,0
12/4/04 4:00,0,0
12/4/04 16:00,0,0
12/5/04 4:00,0,0
12/5/04 16:00,0,0
12/6/04 4:00,50.8,1.27
12/6/04 16:00,25.4,0.762
12/7/04 4:00,0,0
12/7/04 16:00,152.4,6.858
12/8/04 4:00,241.3,11.43
12/8/04 16:00,177.8,23.622
12/9/04 4:00,279.4,57.404
12/9/04 16:00,76.2,17.272
12/10/04 4:00,50.8,10.16
12/10/04 16:00,0,0
12/11/04 4:00,0,0
12/11/04 16:00,0,0
12/12/04 4:00,0,0
12/12/04 16:00,0,0
12/13/04 4:00,0,0
12/13/04 16:00,0,0
12/14/04 4:00,0,0
12/14/04 16:00,0,0
12/15/04 4:00,0,0
12/15/04 16:00,0,0
12/16/04 4:00,0,0
12/16/04 16:00,0,0
12/17/04 4:00,0,0
12/17/04 16:00,0,0
12/18/04 4:00,0,0
12/18/04 16:00,0,0
12/19/04 4:00,0,0
12/19/04 16:00,0,0
12/20/04 4:00,0,0
12/20/04 16:00,0,0
12/21/04 4:00,0,0
12/21/04 16:00,0,0
12/22/04 4:00,50.8,2.54
12/22/04 16:00,25.4,1.27
12/23/04 4:00,101.6,5.08
12/23/04 16:00,0,0
12/24/04 4:00,0,0
12/24/04 16:00,0,0
12/25/04 4:00,0,0
12/25/04 16:00,0,0
12/26/04 4:00,0,0
12/26/04 16:00,0,0
12/27/04 4:00,0,0
12/27/04 16:00,25.4,2.032
12/28/04 4:00,25.4,1.524
12/28/04 16:00,0,0
12/29/04 4:00,101.6,9.398
12/29/04 16:00,241.3,27.432
