DateTime Local,8HrSnow_cm,8HrWater_cm,16HrSnow_cm,16HrWater_cm
10/18/21 8:00,27,2.5,0,0
10/25/21 8:00,67.5,4.15,0,0
10/25/21 16:00,0,0,12.5,1.44
11/9/21 8:00,11.5,2.7,0,0
12/9/21 8:00,13,1.29,0,0
12/12/21 8:00,12,1.32,0,0
12/13/21 8:00,47.5,4.6,0,0
12/13/21 16:00,0,0,18,2.9
12/14/21 8:00,74,2.7,0,0
12/14/21 16:00,0,0,6,0.56
12/15/21 8:00,6.5,0.38,0,0
12/16/21 8:00,35,2.8,0,0
12/22/21 8:00,9.5,1.18,0,0
12/23/21 8:00,15.5,4.25,0,0
12/23/21 16:00,0,0,23.5,2.8
12/24/21 8:00,39.5,5.6,0,0
12/25/21 8:00,19,3.2,0,0
12/25/21 16:00,0,0,32.5,3.26
12/26/21 8:00,42.5,2.33,0,0
12/26/21 16:00,0,0,28,1.57
12/27/21 8:00,72,3.75,0,0
12/27/21 16:00,0,0,17,1.24
12/28/21 8:00,5.5,0.6,0,0
12/29/21 8:00,20.5,1.45,0,0
12/30/21 8:00,0,0,0,0
1/4/22 8:00,6,1.55,0,0
1/4/22 16:00,0,0,5.5,0.95
1/7/22 16:00,0,0,0,0
2/21/22 8:00,8,0.53,0,0
2/22/22 8:00,28.5,1.93,0,0
3/5/22 8:00,10,0.85,0,0
3/15/22 8:00,0,0,0,0
3/19/22 16:00,0,0,9.5,1.11
4/11/22 8:00,10,1.52,0,0
4/11/22 16:00,0,0,10,1.69
4/14/22 8:00,16,1.62,0,0
4/14/22 16:00,0,0,19,2.07
4/15/22 8:00,27,2.98,0,0
4/16/22 8:00,19,2.82,0,0
4/19/22 8:00,13,2.09,0,0
4/21/22 8:00,36,4.5,0,0
4/21/22 16:00,0,0,31,3.41
4/22/22 8:00,12,1.31,0,0
5/9/22 8:00,10.5,1.55,0,0
5/10/22 8:00,15.5,1.23,0,0
11/1/22 16:00,0,0,11,1.4
11/2/22 8:00,19.5,2.16,0,0
11/3/22 8:00,8.5,0.57,0,0
11/7/22 8:00,15,2.4,0,0
11/8/22 8:00,27.5,2.2,0,0
11/8/22 16:00,0,0,22,1.68
11/9/22 8:00,23.5,1.99,0,0
12/1/22 8:00,14,1.65,0,0
12/1/22 16:00,0,0,34,3.88
12/3/22 16:00,0,0,5.5,1.11
12/4/22 8:00,20.5,3,0,0
12/4/22 16:00,0,0,14,1.38
12/5/22 8:00,11,1,0,0
12/5/22 16:00,0,0,16.5,1.77
12/6/22 8:00,7,0.54,0,0
12/9/22 8:00,12.5,1.48,0,0
12/10/22 8:00,15,1.92,0,0
12/10/22 16:00,0,0,27,4.14
12/11/22 8:00,68.5,6.9,0,0
12/11/22 16:00,0,0,25.5,1.31
12/27/22 8:00,7,3.2,0,0
12/28/22 8:00,9,1.35,0,0
12/29/22 8:00,7,0.6,0,0
12/30/22 8:00,9,1.5,0,0
12/31/22 8:00,10,1.6,0,0
12/31/22 16:00,0,0,50,4.6
1/1/23 8:00,26,2.3,0,0
1/3/23 8:00,6.5,0.81,0,0
1/5/23 8:00,22,3.48,0,0
1/5/23 16:00,0,0,16,1.77
1/6/23 8:00,13.5,1.38,0,0
1/8/23 8:00,22,3.23,0,0
1/8/23 16:00,0,0,6,0.89
1/9/23 8:00,26,5.3,0,0
1/9/23 16:00,0,0,5.5,1.28
1/10/23 8:00,18,2.17,0,0
1/10/23 16:00,0,0,24,2.65
1/11/23 8:00,32.5,3.44,0,0
1/12/23 8:00,6.5,1.79,0,0
1/13/23 16:00,0,0,17,1.75
1/14/23 8:00,37,4.69,0,0
1/14/23 16:00,0,0,27.5,3.53
1/15/23 8:00,27.5,2.73,0,0
1/15/23 16:00,0,0,8,0.82
1/16/23 8:00,10,1.09,0,0
1/16/23 16:00,0,0,11,0.9
1/19/23 8:00,26,2.74,0,0
1/19/23 16:00,0,0,7,0.34
2/5/23 8:00,23.5,3.73,0,0
2/5/23 16:00,0,0,26,2.46
2/6/23 8:00,6,0.47,0,0
2/22/23 16:00,0,0,9.5,0.47
2/23/23 8:00,34,2.15,0,0
2/23/23 16:00,0,0,35,2
2/24/23 8:00,33,2.27,0,0
2/24/23 16:00,0,0,21,1.48
2/25/23 8:00,7,0.81,0,0
2/26/23 16:00,0,0,21.5,1.33
2/27/23 8:00,20,2.06,0,0
2/27/23 16:00,0,0,38,2.55
2/28/23 8:00,54.5,3.2,0,0
2/28/23 16:40,0,0,48,2.99
3/1/23 8:00,43.5,3,0,0
3/4/23 16:00,0,0,23,1.63
3/5/23 8:00,55,3.98,0,0
3/5/23 16:00,0,0,26,1.28
3/6/23 8:00,19,1.11,0,0
3/6/23 16:00,0,0,7,0.39
3/7/23 8:00,25,1.8,0,0
3/8/23 8:00,27,1.24,0,0
3/8/23 16:00,0,0,12,0.7
3/9/23 16:00,0,0,7,0.64
3/10/23 8:00,18,5.19,0,0
3/11/23 8:00,17.5,2.5,0,0
3/11/23 16:00,0,0,18.5,2.44
3/12/23 8:00,16.5,3.33,0,0
3/12/23 16:00,0,0,6,1.09
3/13/23 8:00,28,4.15,0,0
3/14/23 8:00,30,3.59,0,0
3/14/23 16:00,0,0,6.5,1.53
3/19/23 16:00,0,0,8,0.95
3/20/23 8:00,11.5,2.01,0,0
3/22/23 8:00,5.5,0.34,0,0
3/23/23 8:00,7,0.63,0,0
3/24/23 8:00,20,2.3,0,0
3/28/23 16:00,0,0,32.5,4.04
3/29/23 8:00,21,1.87,0,0
4/3/23 8:00,17.5,1.84,0,0
4/7/23 8:00,12,1.3,0,0
4/18/23 8:00,20.5,2.6,0,0
5/2/23 8:00,7.5,0.87,0,0
5/3/23 8:00,6.5,0.63,0,0
5/6/23 8:00,8.5,0.93,0,0
5/7/23 8:00,7,0.98,0,0
10/25/23 16:00,0,0,8,1.23
11/7/23 8:20,8,2.29,0,0
12/6/23 16:00,0,0,10.5,1
12/7/23 8:00,17.5,2.2,0,0
1/3/24 8:00,27.5,3.03,0,0
1/6/24 16:00,0,0,29,2.35
1/6/24 8:00,6,0.52,0,0
1/10/24 16:00,0,0,12.5,2.27
1/11/24 8:00,13,1.57,0,0
1/13/24 16:00,0,0,11.5,1.31
1/14/24 8:00,13,2.33,0,0
1/17/24 8:00,8,1.61,0,0
1/21/24 8:00,16.5,2.37,0,0
1/22/24 8:00,23,2.76,0,0
2/1/24 8:00,27.5,3.15,0,0
2/2/24 16:00,0,0,8.5,0.82
2/3/24 8:00,24,2.01,0,0
2/4/24 8:00,15,1.44,0,0
2/4/24 16:00,0,0,23,2.87
2/5/24 8:00,14.5,2.3,0,0
2/5/24 16:00,0,0,20,1.99
2/7/24 16:00,0,0,9.5,0.84
2/15/24 8:00,27,3.75,0,0
2/18/24 8:00,19,2.73,0,0
2/19/24 8:00,26,3.9,0,0
2/20/24 8:00,6.5,1.44,0,0
2/21/24 8:00,19.5,2.08,0,0
2/29/24 16:00,0,0,14,2.67
3/1/24 8:00,35,5.79,0,0
3/1/24 16:00,0,0,14,1.93
3/2/24 8:00,40,6.02,0,0
3/2/24 16:00,0,0,19.5,1.3
3/3/24 8:00,41,3.95,0,0
3/3/24 16:00,0,0,30,2.39
3/4/24 8:00,12,1.33,0,0
3/12/24 8:00,12,1.34,0,0
3/23/24 8:00,33.5,3.76,0,0
3/24/24 8:00,14,1.34,0,0
3/28/24 8:00,21.5,3.2,0,0
3/29/24 16:00,0,0,10.5,0.77
3/30/24 8:00,13.5,1.19,0,0
3/30/24 16:00,0,0,11.5,0.84
3/31/24 8:00,10.5,1,0,0
4/4/24 16:00,0,0,5.5,0.42
4/5/24 16:00,0,0,7.5,0.53
5/4/24 16:00,0,0,45,4.35
5/5/24 8:00,22.5,2.17,0,0
