DateTime (approx) Local,24HrSnow_in,24HrWater_in
10/1/19 7:00,0,0
10/2/19 7:00,0,0
10/3/19 7:00,0,0
10/6/19 7:00,0,0
10/8/19 7:00,0,0
10/9/19 7:00,0,0
10/10/19 7:00,0,0
10/11/19 7:00,0,0
10/12/19 7:00,0,0
10/13/19 7:00,0,0
10/14/19 7:00,0,0
10/15/19 7:00,0,0
10/16/19 7:00,0,0
10/17/19 7:00,0,0
10/18/19 7:00,0,0
10/19/19 7:00,0,0
10/20/19 7:00,0,0
10/21/19 7:00,0,0
10/22/19 7:00,0,0
10/23/19 7:00,0,0
10/24/19 7:00,0,0
10/25/19 7:00,0,0
10/26/19 8:00,0,0
10/27/19 7:00,0,0
10/28/19 7:00,0,0
10/29/19 7:00,0,0
10/30/19 7:00,0,0
10/31/19 7:00,0,0
11/1/19 7:00,0,0
11/2/19 7:00,0,0
11/5/19 7:00,0,0
11/6/19 7:00,0,0
11/7/19 7:00,0,0
11/8/19 7:00,0,0
11/9/19 7:00,0,0
11/10/19 7:00,0,0
11/11/19 7:00,0,0
11/12/19 7:00,0,0
11/15/19 7:00,0,0
11/16/19 7:00,0,0
11/17/19 7:00,0,0
11/18/19 7:00,0,0
11/19/19 7:00,0,0
11/20/19 7:00,0,0
11/22/19 7:00,0,0
11/23/19 7:00,0,0
11/24/19 7:00,0,0
11/25/19 7:00,0,0
11/26/19 7:00,0,0
11/27/19 7:00,5,0.26
11/28/19 7:00,13.5,0.53
11/29/19 6:30,0,0
11/30/19 7:00,2,0.18
12/1/19 7:00,0,0
12/2/19 9:00,0,0
12/3/19 7:00,0,0
12/4/19 7:00,0,0
12/5/19 7:00,0,0
12/6/19 7:00,0,0
12/7/19 8:00,0,0
12/8/19 7:00,0,0
12/12/19 7:00,2.1,0.22
12/13/19 7:00,0,0
12/14/19 7:00,0,0
12/15/19 7:00,0,0
12/16/19 7:00,0,0
12/17/19 7:00,0,0
12/20/19 7:00,0,0
12/21/19 7:00,0,0
12/22/19 7:00,0,0
1/1/20 7:00,0,0
1/2/20 7:00,2,1.6
1/3/20 7:00,0,0
1/7/20 7:00,0,0
1/11/20 7:00,3,0.15
1/12/20 7:00,0,0
1/13/20 7:00,9.8,0.59
1/14/20 7:00,5.9,0.29
1/15/20 7:00,0,0
1/16/20 7:00,0,0
1/17/20 7:00,0,0
1/18/20 7:00,0,0
1/19/20 7:00,0,0
1/20/20 7:00,0,0
1/21/20 7:00,0,0
1/22/20 7:00,0,0
1/23/20 7:00,0,0
1/24/20 7:00,0,0
1/28/20 7:00,0,0
1/29/20 7:00,0,0
1/30/20 7:00,0,0
1/31/20 7:00,0,0
2/1/20 7:00,0,0
2/2/20 7:00,0,0
2/3/20 7:00,0,0
2/4/20 7:00,0,0
2/5/20 7:00,0,0
2/6/20 7:00,0,0
2/7/20 7:00,0,0
2/8/20 7:00,0,0
2/9/20 7:00,0,0
2/10/20 7:00,0,0
2/11/20 7:00,0,0
2/12/20 7:00,0,0
2/13/20 7:00,0,0
2/14/20 7:00,0,0
2/15/20 7:00,0,0
2/16/20 7:00,0,0
2/17/20 7:00,0,0
2/18/20 7:00,0,0
2/19/20 7:00,0,0
2/20/20 7:00,0,0
2/21/20 7:00,0,0
2/22/20 7:00,0,0
2/23/20 7:00,0,0
2/24/20 7:00,0,0
2/25/20 7:00,0,0
2/26/20 7:00,0,0
2/27/20 7:00,0,0
2/28/20 7:00,0,0
2/29/20 7:00,0,0
3/1/20 7:00,0,0
3/2/20 7:00,0,0
3/3/20 7:00,0,0
3/4/20 7:00,0,0
3/5/20 7:00,0,0
3/6/20 7:00,0,0
3/7/20 7:00,0,0
3/8/20 7:00,0,0
3/9/20 7:00,0,0
3/10/20 7:00,0,0
3/17/20 7:00,0,0
3/18/20 7:00,0,0
3/19/20 7:00,0,0
3/20/20 7:00,0,0
3/21/20 7:00,0,0
3/22/20 7:00,0,0
3/24/20 7:00,0,0
3/25/20 7:00,0,0
3/26/20 7:00,0,0
3/27/20 7:00,0,0
3/29/20 7:00,0,0
3/30/20 7:00,0,0
3/31/20 7:00,0,0
4/1/20 7:00,0,0
4/2/20 7:00,0,0
4/3/20 7:00,0,0
4/4/20 7:00,0,0
4/5/20 7:00,0,0
4/6/20 7:00,0,0
4/7/20 7:00,0,0
4/8/20 7:00,0,0
4/9/20 7:00,0,0
4/10/20 7:00,0,0
4/11/20 7:00,0,0
4/12/20 7:00,0,0
4/13/20 7:00,0,0
4/14/20 7:00,0,0
4/15/20 7:00,0,0
10/11/20 7:00,0,0
10/25/20 7:00,0,0
11/8/20 7:00,0,0
11/9/20 7:00,0,0
11/10/20 7:00,0,0
11/11/20 7:00,3.3,0.21
11/13/20 7:00,0,0
11/14/20 7:00,11,1.12
11/16/20 7:00,0,0
11/17/20 7:00,0,0
11/18/20 7:00,0,0
11/19/20 7:00,0,0
11/22/20 7:00,0,0
11/23/20 7:00,0,0
11/26/20 7:00,0,0
11/27/20 7:00,0,0
11/28/20 7:00,0,0
11/29/20 7:00,0,0
12/1/20 7:00,0,0
12/2/20 7:00,0,0
12/3/20 7:00,0,0
12/4/20 7:00,0,0
12/5/20 7:00,0,0
12/6/20 7:00,0,0
12/7/20 7:00,0,0
12/8/20 7:00,0,0
12/10/20 7:00,0,0
12/14/20 7:00,2,0.15
12/15/20 7:00,0,0
12/16/20 7:00,0,0
12/17/20 7:00,4,0.39
1/2/21 7:00,0,0
1/3/21 7:00,0,0
1/13/21 7:00,0,0
1/27/21 7:00,0,0
1/28/21 8:00,14,1.08
1/29/21 7:00,5,0.45
2/3/21 7:00,0,0
2/5/21 7:00,0,0
2/12/21 7:00,0,0
2/13/21 7:00,0,0
2/19/21 7:00,0,0
2/20/21 7:00,0,0
2/21/21 7:00,0,0
2/26/21 7:00,0,0
3/20/21 7:00,0,0
3/25/21 7:00,0,0
3/26/21 7:00,0,0
4/25/21 7:00,0,0
4/27/21 7:00,0,0
5/3/21 7:00,0,0
10/7/21 7:00,0,0
10/8/21 7:00,0,0
10/9/21 7:00,0,0
10/11/21 7:00,0,0
10/12/21 7:00,0,0
10/13/21 7:00,0,0
10/24/21 7:00,0,0
10/25/21 7:00,0,0
10/26/21 7:00,0,0
11/1/21 7:00,0,0
11/2/21 7:00,0,0
11/3/21 7:00,0,0
11/4/21 7:00,0,0
11/7/21 7:00,0,0
11/8/21 7:00,0,0
11/9/21 7:00,0,0
11/10/21 7:00,2,0.37
11/11/21 7:00,0,0
11/12/21 7:00,0,0
11/13/21 7:00,0,0
11/14/21 7:00,0,0
11/15/21 7:00,0,0
11/16/21 7:00,0,0
11/17/21 7:00,0,0
11/18/21 7:00,0,0
11/19/21 7:00,0,0
11/20/21 7:00,0,0
11/21/21 7:00,0,0
11/22/21 7:00,0,0
12/7/21 7:00,0,0
12/12/21 7:00,4,0.42
12/13/21 6:45,5.5,0.45
12/14/21 7:00,6.8,0.71
12/15/21 7:00,0,0
12/16/21 7:00,0,0
12/23/21 7:00,2.5,0.17
1/4/22 7:00,7,0.37
1/5/22 7:00,2,0.15
1/6/22 7:00,0,0
1/7/22 7:00,0,0
1/8/22 7:00,0,0
1/9/22 7:00,0,0
1/10/22 7:00,0,0
1/11/22 7:00,0,0
1/12/22 7:00,0,0
1/13/22 7:00,0,0
1/14/22 7:00,0,0
1/15/22 7:00,0,0
1/16/22 7:00,0,0
1/17/22 7:00,0,0
1/18/22 7:00,0,0
1/19/22 7:00,0,0
1/20/22 7:00,0,0
1/21/22 7:00,0,0
1/25/22 7:00,0,0
3/14/22 7:00,0,0
4/5/22 7:00,0,0
4/11/22 7:00,0,0
4/12/22 7:00,6,0.65
4/13/22 7:00,0,0
4/14/22 7:00,0,0
4/15/22 7:00,0,0
4/16/22 7:00,2.5,0.19
4/17/22 7:00,0,0
5/1/22 7:00,0,0
5/2/22 7:00,0,0
5/3/22 7:00,0,0
5/6/22 7:00,0,0
5/7/22 7:00,0,0
5/8/22 7:00,0,0
5/9/22 7:00,0,0
5/10/22 7:00,0,0
5/11/22 7:00,0,0
10/1/22 7:00,0,0
10/2/22 7:00,0,0
10/3/22 7:00,0,0
10/4/22 7:00,0,0
10/5/22 7:00,0,0
10/6/22 7:00,0,0
10/7/22 7:00,0,0
10/8/22 7:00,0,0
10/9/22 7:00,0,0
10/10/22 7:00,0,0
10/11/22 7:00,0,0
10/12/22 7:00,0,0
10/13/22 7:00,0,0
10/14/22 7:00,0,0
10/15/22 7:00,0,0
10/16/22 7:00,0,0
10/17/22 7:00,0,0
10/18/22 7:00,0,0
10/19/22 7:00,0,0
10/20/22 7:00,0,0
10/21/22 7:00,0,0
10/22/22 7:00,0,0
10/23/22 7:00,0,0
10/24/22 7:00,0,0
10/25/22 7:00,0,0
10/26/22 7:00,0,0
10/27/22 7:00,0,0
10/28/22 7:00,0,0
10/29/22 7:00,0,0
10/30/22 7:00,0,0
10/31/22 7:00,0,0
11/1/22 7:00,0,0
11/2/22 7:00,0,0
11/3/22 7:00,0,0
11/4/22 7:00,0,0
11/5/22 7:00,0,0
11/6/22 7:00,0,0
11/7/22 7:00,3.2,0.59
11/8/22 7:00,0,0
11/9/22 7:00,6,1.14
11/10/22 7:00,0,0
11/11/22 7:00,0,0
11/12/22 7:00,0,0
11/13/22 7:00,0,0
